miRNAs,logFC,AveExpr,t,P.Value,adj.P.Val,B
hsa-miR-3667-3p,1.27751858520442,5.20076601544077,3.97767567125689,0.000884534503999105,0.00832903304444406,-1.02672253529428
hsa-miR-5572,1.27577736211008,5.9348714386294,4.32386541613008,0.000409957770004448,0.00437498522758593,-0.266179662040648
hsa-miR-4540,1.271875537528,11.288287010888,4.29309824993389,0.000438872596570332,0.00458941644956212,-0.33375312413943
hsa-miR-3202,1.26433239260986,11.755065320818,6.9653422503057,1.67191901971007e-06,7.10053771431971e-05,5.23815670470619
hsa-miR-652-5p,1.22491177749716,7.23016236859211,5.51404580349537,3.10862557974162e-05,0.000598986095503918,2.30698196482721
hsa-miR-135b-5p,1.19278870812632,6.14584834480976,5.28384885508599,5.06424503734243e-05,0.000878224493559134,1.81838947546508
hsa-miR-136-5p,1.18626462445102,6.53817223647299,4.16377317701421,0.000584733472293484,0.00599423820612187,-0.617910734790373
hsa-miR-4704-5p,1.1831858051978,8.29435769747788,4.65373524079405,0.000198118760564585,0.00238315110251388,0.456491508279553
ebv-miR-BART4-5p,1.18270323142332,5.79124769376446,6.60748724390945,3.34910243430109e-06,0.00011241100267388,4.5414013333623
hcmv-miR-US25-2-5p,1.09062773644466,6.08387757426309,3.87576014535733,0.00110988539419204,0.0099127532416894,-1.25027805662455
hsa-miR-4254,1.08097829594544,6.81630147530748,4.3541334085754,0.000383389738399023,0.00413385515859258,-0.199720561613296
kshv-miR-K12-11-3p,1.06334471596357,5.61500959698517,5.80148090636168,1.70511451821212e-05,0.000383467452314452,2.90883593912807
hsa-miR-3664-5p,1.06044993728002,7.82263514029848,4.06461836343078,0.000728930153958123,0.00708833481489184,-0.835787412633438
hsa-miR-3663-3p,1.00848100232359,4.98400394922759,4.9916079880956,9.48875623065149e-05,0.00146267420118413,1.19067068882877
hsv2-miR-H4-5p,-1.00232345083362,4.95918689377417,-4.11140307076729,0.000656903847557023,0.0066360044017775,-0.732994247708595
hsa-miR-433-5p,-1.0500160991308,9.15617081229804,-5.41372427159609,3.84248192682186e-05,0.00070142148155406,2.09473318983192
hsa-miR-4299,-1.06993830346419,7.36351258141201,-3.88214523337462,0.00109421331591402,0.00990025178442203,-1.23628322728402
hsa-miR-5694,-1.08816777529806,8.32503384893051,-4.10862038479772,0.000660980315878939,0.00664492771663803,-0.739108821057337
hsa-miR-323a-3p,-1.09088079084466,6.35670506108466,-5.09217672213168,7.63719381419012e-05,0.00123201552925036,1.40754901456672
hsv2-miR-H11-5p,-1.10686258124195,5.54938468328425,-5.01699927838192,8.98184831690269e-05,0.00139486763787123,1.24550740474613
hsa-miR-3074-5p,-1.1142482528989,5.99155138152275,-4.36252649906781,0.00037633567474659,0.00407892989139404,-0.181295548759413
